policy_id,state_name,state_code,policy_name,summary,policy_type,program_category,published,websiteurl,start_date_text,start_year
4,Oregon,OR,Oregon Solar and Wind Easements/Rights Laws & Local Option Solar Rights Law,"Oregon has several laws that protect access to solar and wind resources andthe use of solar energy systems. Oregon's solar access laws date back to 1979and state that no person conveying or contracting to convey a property titlecan include provisions that prohibit the use of solar energy systems on theproperty. Any provisions that prohibit the use of solar energy systems arevoid and unenforceable. Solar energy systems are defined broadly to includeanything that uses solar radiation for heating, cooling, or electrical energy.In June 2011, this law was expanded upon with the passage of HB 3516. Thislegislation clarifies that in zones where residential and commercialstructures are allowed uses, solar photovoltaic (PV) and solar thermal systemsare explicitly allowed as a permitted use. The law was further expanded in2017 with the passage of HB 2111. The legislation voids any provisions,declarations, or bylaws of a planned community which prohibit installation anduse of solar panels.    **Solar Easements:**Oregon's solar easement law was enacted in 1979; the wind easement law wasenacted in 1981.Prohibition against installation of solar panels are void and unenforceable.However, a homeowners association may adopt and enforce a provision thatimposes reasonable size, placement or aesthetic requirements for theinstallation or use of solar panels **Requirements For Creation:**  * A legal description of the real property benefited and burdened by the easement; and a description of the solar energy easement sufficient to determine the space over the burdened property which must remain unobstructed by means that shall include, but not be limited to: a sun chart showing the plotted skyline, including vegetation and structures from the perspective of the center of the lower edge of the collector surface, and a drawing showing the size and location of the collector surface being protected and its orientation with respect to true south; or a description of the solar envelope sufficient to determine the space over the burdened property that must remain unobstructed.  * The instrument creating a solar energy easement or any other access right to sunlight shall be recordable under ORS 93.710. The instrument shall be recorded in the chains of title of the benefited and burdened properties as a transfer of the easement or access right from the owner of the burdened property to the owner of the benefited property.  * When an instrument creating a solar energy easement is issued by a city or otherwise requires approval from a city, the instrument shall be attested to and contain the original signature of a city official in addition to the descriptions and chart required under subsection (1) of this section.  * An instrument creating a solar energy easement shall be indexed when recorded by the name of the city and the names of all parties claiming any interest in the real property benefited or burdened by the easement.  **Solar Access:**Oregon state law also allows municipalities and local authorities to establishsolar access laws. Access laws are intended to protect solar access to thesouth face of buildings during solar heating hours, taking into accountexisting development, vegetation, and planned uses. The local ordinances mayinclude standards for orientation of new streets and lots, placement andheight of new buildings, and the placement of new trees on public property.City and county laws are generally designed to protect south-facing roof spacefor active solar energy systems such as solar electric and solar hot waterpanels, as opposed to daylighting and passive solar heating that requiresouthern exposure to a building's wall.",Solar/Wind Access Policy,Regulatory Policy,1,NA,NA,NA
13,Rhode Island,RI,Rhode Island Solar Easement Laws,"Rhode Island allows property owners to establish solar easements in the samemanner and with the same effect as a conveyance of an interest in realproperty. Solar easements must be created in writing.In general, they must include:  1. A description of the real property involved,   2. A description of the angles and three-dimensional space involved;   3. The terms under which the easement is granted or may be terminated, and  4. Any provisions for compensation of either property owner.In addition, the state’s local zoning ordinances must address access to airand light, views, and solar access.",Solar/Wind Access Policy,Regulatory Policy,1,NA,NA,NA
25,Oregon,OR,Solar Water Heating Incentive Program,"**_Note: After reviewing data provided by the Energy Trust and conducting apublic comments process during summer and fall of 2014, the Oregon PublicUtilities Commission concluded that Energy Trust incentives must bediscontinued for residential and commercial solar water heating and solar poolheating measures because they are no longer passing the cost-effectivenesstests. As a result, incentives will be discontinued November 7, 2014. Read thefull announcement_**   ** _here.  _**The Energy Trust of Oregon's Solar Water Heating (SWH) Incentive Programoffers incentives to customers of Pacific Power, PGE, NW Natural Gas andCascade Natural Gas who install solar water or pool heating systems on theirhomes, office buildings, community buildings, agricultural, and municipalfacilities. Energy Trust is a nonprofit organization created to invest publicpurpose funding in energy efficiency and renewable energy development inOregon.  Commercial incentives are calculated by multiplying the incentive rate by theestimated annual energy savings and residential incentives are a flat rate persystem based on the location of the system. Zone 1 is Northwest Oregon, andZones 2 and 3 are Southwest Oregon and East of the Cascades. The incentive ispaid to the solar contractor and deducted from the customer's final cost asfollows:    Electric water heating:  * Residential solar water heating: $1,000 for customers in Zone 1 and $1,200 for customers located in Zones 2 and 3  * Commercial and multifamily solar water heating: $0.40 per first-year kilowatt-hour (kWh) savingsGas water heating:  * Residential solar water heating: $550 for customers in Zone 1 and $700 for customers in Zones 2 and 3  * Commercial and multifamily solar water heating: $6.00 per first-year therm savingsSolar pool heating:  * Solar pool heating using unglazed collectors (outdoor pools): $3.00 per square foot of collector area, up to 50% of project cost  * Solar pool heating using unglazed collectors (indoor pools): $4.50 per square foot of collector area up to 50% of project cost  * Solar pool heating using glazed collectors (indoor and outdoor pools): $0.40 per kWh or $6.00 per therm up to 35% of project cost for commercial or multifamily; based upon estimated annual energy savings for residentialThe Energy Trust SWH Program has installation standards and maintains a listof eligible residential systems. To be eligible, residential systems must beSolar Rating and Certification Corporation (SRCC) OG-300 rated and must alsomeet additional Energy Trust requirements.Energy Trust maintains a list of contractors and will provide referrals tocontractors from their trade ally network. The contractor will help select asolar water heating system and provide a system quote estimating annualperformance, installation date, and the cost after incentive deductions. Thecontractor will explain maintenance and warranty details and how to apply fortax credits available from the state and federal governments.    Oregon also offers renewable energy personal tax credits.",Rebate Program,Financial Incentive,0,http://energytrust.org/residential/incentives/solar-water-heating/SolarWater,October 2003,2003
27,Iowa,IA,Iowa Solar Easement and Access Laws,"Iowa's solar access easement provision allows for access to sunlight tooperate a solar energy system. Those who are unable to obtain a voluntarysolar easement from a property owner may apply to the solar access regulatoryboard for an order granting a solar access easement if the relevant citycouncil or county board of supervisors has created such a board. In theabsence of such a board, the matter is referred to the local district court.Applications for an easement must contain specific information about the size,location, and orientation of the solar energy system as well as a descriptionof the actions that have been taken to minimize the impact on neighboringestates.    Persons, including public bodies, may voluntarily agree to create a solaraccesseasement. A solar access easement whether obtained voluntarily or pursuant totheorder of a solar access regulatory board is subject to the same recording andconveyancerequirements as other easements. A solar access easement shall be created inwriting and shall include the following:a. The legal description of the dominant and servient estates.b. A legal description of the space which must remain unobstructed expressedin termsof the degrees of the vertical and horizontal angles through which the solaraccess easementextends over the burdened property and the points from which these angles aremeasured.    Iowa code also grants municipalities the right to issue ordinances prohibitingsubdivisions from including restrictive covenants that limit the use of solarcollectors.Note: _The department of natural resources shall make available informationand guidelines to assist local government bodies and the public to understandand use the provisions. The information and guidelines shall include anapplication form for a solar access easement, instructions and aids forpreparing and recording solar access easements and model ordinances thatpromote reasonable access to solar energy._",Solar/Wind Access Policy,Regulatory Policy,1,NA,NA,NA
31,Oregon,OR,BEF - Solar 4R Schools,"Bonneville Environmental Foundation's (BEF) Solar 4R Schools program began in2002. This competitive grant program seeks to install small-scale photovoltaicsystems at K-12 schools interested in increasing the visibility of renewableenergy. Successful projects will include outreach and educational componentsto encourage community adoption and use of photovoltaics.The school agrees to: own and maintain the solar system, provide access to anetwork in order to transfer solar data and offer and implement an educationaland/or public outreach strategy. Solar 4R Schools donates the photovoltaicsystem and monitoring equipment, performs all installations with help fromschool staff, and provides a renewable energy curriculum framework to theschool. Once the systems are running, the students are able to accessphotovoltaic monitoring data on school computers as they learn about renewableenergy. The data can also be displayed over the school or district website sothat the general public can see it. Solar 4R Schools has developed curriculummodules that incorporate solar and photovoltaic technology concepts to assistteachers with implementing solar energy education in the classroom.Solar 4R Schools will typically fund 50-100% of costs for approveddemonstration systems sized less than 10 kilowatts and will occasionallyconsider partially funding other larger photovoltaic projects. Solar 4RSchools usually requires a funding partner or requires matching funds from theproject applicant. Grants are awarded on a quarterly basis. Solar 4R Schoolsgrants are available to any school in the United States. See the Solar 4RSchools website for more details on funding and the application process.",Grant Program,Financial Incentive,0,http://www.solar4rschools.org/about,NA,NA
39,Oregon,OR,Net Metering,"**Eligibility and Availability**    Oregon state law requires all utilities to offer net metering pursuant toOregon Revised Statutes 757.300.* Some requirements differ between the state'sprimary investor-owned utilities (PGE and PacifiCorp) and its municipalutilities, electric cooperatives, and people's utility districts.Net-metered systems must be intended primarily to offset part or all of acustomer’s requirements for electricity. Systems that generate electricityusing solar power, wind power, hydropower, fuel cells, landfill or digestergas, biomass resources, geothermal energy, or marine energy are eligible.The Public Utilities Commission (PUC) adopted new rules for net metering forPGE and PacifiCorp customers in July 2007, raising the individual system limitfrom 25 kilowatts (kW) to two megawatts (MW) for non-residential applications.The limit on individual residential systems is 25 kW. The system size limitfor municipal utilities, electric cooperatives, and people's utility districtsis 25 kW.   **Net Excess Generation**For PGE and PacifiCorp customers, net excess generation (NEG) is carried overto the customer's next bill as a kilowatt-hour credit for a 12-month period.Unless the utility and a customer otherwise agree, the annual billing cyclewill conclude at the end of the March billing cycle of each year. Any NEGremaining at the end of a 12-month period will be credited at the utility'savoided-cost rate to customers enrolled in Oregon's low-income assistanceprograms.For customers of municipal utilities, cooperatives, and people's utilitydistricts, NEG is either purchased at the utility's avoided-cost rate orcredited to the customer's next monthly bill as a kilowatt-hour credit. At theend of an annual period, any unused NEG credit is granted to the electricutility. This credit, in turn, is then either granted to customers enrolled inthe utility's low-income assistance programs, credited to the generatingcustomer, or dedicated to ""other use."" **Aggregate Capacity Limit**  Utilities may not limit the total cumulative capacity of net metered systemsbeyond a cumulative capacity of 0.5% of the utility's historic peak load.After the cap is reached, the PUC, or the governing body if a municipalutility, electric cooperative, or people's utility district, has thediscretion to limit net metering IF deemed necessary. The PUC thus far has notimplemented the 0.5% cap for the state's two IOUs.**Equipment and Interconnection**  Net metering is achieved using a standard bi-directional meter. Utilities maynot place any additional standards or requirements on customers beyond thoserequirements established by the National Electric Code (NEC), Institute ofElectrical and Electronic Engineers (IEEE), and Underwriters Laboratories(UL). However, utilities may be authorized to assess a fee or charge if theutility's direct costs of interconnection and administration of net meteringoutweigh the distribution system, environmental and public-policy benefits ofallocating costs among its customers. **Meter Aggregation**For customers of PGE and PacifiCorp, the aggregation of meters for netmetering is allowed. There is no limit on the number of net-meteringfacilities per customer, as long as the capacity of all net-meteringfacilities on a customer's contiguous property does not exceed the applicablecapacity limit. Meters that are on different rate schedules are able to beaggregated. **Community Net Metering**SB 1547 of 2016 established a community solar program for Oregon. The lawrequires that utilities compensate subscribers to a community solar programfor the electricity the system produces according to the resource value ofsolar. The PUC is delegated authority to determine the resource value of solarand establish specific rules and requirements for community solar programs. **Third Party Ownership**    In July of 2008, the PUC issued a ruling to clarify that third-party investorsmay participate in net metering, and that a third-party investor’s sale ofelectricity to a utility customer does not subject the investor to regulationby the commission. **Renewable Energy Credits**Customers retain ownership of all renewable-energy credits (RECs) associatedwith the generation of electricity. _*Oregon's net metering rules do not apply to customers of Idaho Power, whichprovides net metering to Oregon customers pursuant to rules adopted by theIdaho Public Utilities Commission._",Net Metering,Regulatory Policy,1,NA,NA,NA
43,Delaware,DE,Net Metering,"**Eligibility**In Delaware, net metering is available to any customer that generateselectricity using solar, wind or hydro resources, anaerobic digesters, or fuelcells capable of being powered by renewable fuels. Grid-interactive electricvehicles are also eligible for net metering treatment for electricity thatthey put on the grid, although these vehicles do not themselves generateelectricity.**System size**The maximum capacity of a net-metered system is 25 kilowatts (kW) forresidential customers; 100 kW for farm customers on residential rates; twomegawatts (MW) per meter for non-residential customers of Delmarva Power andLight (DP&L); and 500 kW per meter for non-residential customers of DelawareElectric Co-Op, Inc.(DEC) and municipal utilities. The DEC and municipalutilities are ""encouraged"" by statute to offer net metering for non-residential customers with eligible systems up to 2 MW in capacity. Systemsmust be intended primarily to offset all or part of a customer's electricityrequirements. It is important to note that while state law requires the DECand municipal utilities to offer net metering under certain terms, theadministrative rules adopted by order of the Delaware Public ServiceCommission (PSC) only apply to DP&L.Utilities are authorized to disallow additional net-metered energy systems ifthe aggregate capacity of all net-metered systems exceeds 8% (S.B. 298 of 2022increased this from 5% to 8%) of the capacity necessary to meet the electricutility's aggregated customer monthly peak demand for a particular calendaryear.    **Net-excess generation:**Customers are generally credited in kilowatt-hours (kWh), valued at an amountper kWh equal to the sum of delivery service charges and supply servicecharges for residential customers, and equal to the sum of the volumetricenergy (kWh) components of the delivery service charges and supply servicecharges for non-residential customers, for any net excess generation (NEG) ina billing period. NEG is carried over to subsequent billing periods to offseta customer's consumption in those billing periods until all credits are usedor at least until the end of a 12-month annual period. In essence, NEG iscarried over to the customer's next bill at the utility's retail rate. Thedefault annual period begins during the month in which the system isinterconnected, but the customer is permitted to change the period once inorder to better utilize excess generation. An exception to retail creditingexists for certain community-owned systems (i.e., those with multiplesubscribers). Subscribers to the output of a community-owned system that islocated behind a customer meter or as a stand-alone facility only receiveretail credit if they are located on the same distribution feeder as thefacility. Those that are not on the same distribution feeder only receivecredit at the wholesale energy supply rate.    Customers may request a payment for unused NEG at the end of the annualizedperiod at the supply service rate, but it does not appear that they arerequired to do so, meaning that NEG can be rolled over indefinitely at thechoice of the customer. Should the customer request a payment for annual NEG,the supplier is permitted to submit the payment as a bill credit if it is lessthan $25.00. Customers retain ownership of renewable-energy credits (RECs)associated with electricity produced and consumed by the customer.**Meter aggregation:**Delaware expanded the state's net-metering policy with S.B. 267 to allowcustomers to aggregate individual meters, to participate in net-metering via asubscribers ""sharing a unique set of interests"" to community-owned system orand aggregation of a customer's multiple accounts, to allow net-meteringsystems to provide up to 110% of a customers' expected aggregate electricityconsumption, extending net-metering to leased and third party owned systems,and for single or aggregation of a customer's multiple accounts, and extendingnet-metering to fuel cells as well as renewable energy fuel cells forcommunity-owned systems.    **History** :  Net metering was expanded significantly in July 2007 by S.B. 8, which extendednet metering to all customer classes, added biogas and fuel cells as eligibletechnologies, addressed the ownership of RECs, and increased the priorindividual system limit of 25 kW, among other changes. The law wassignificantly amended by S.B. 85 in 2009 to extend net metering to farmservice customers on residential rates; remove provisions requiring annualforfeiture of net excess generation (NEG); revise language relating toownership of renewable energy credits produced by net metered systems; and, toexpand the aggregate program capacity limit from 1% of Electric Supplier'saggregated customer monthly peak demand to 5% of Electric Supplier'saggregated customer monthly peak demand. Separately, S.B. 153 enacted inSeptember 2009 extends net metering to the owner of a grid-integrated electricvehicle. Rules incorporating these changes were adopted by PSC Order No. 7698in December 2009.",Net Metering,Regulatory Policy,1,http://depsc.delaware.gov/electric.shtml,NA,NA
56,Iowa,IA,Renewable Energy Equipment Exemption,"Iowa allow a sales tax exemption for solar, wind, and hydroelectricityequipment. As of March 2021, the Iowa sales tax rate is 6%.**Wind**For wind energy the exemption includes the total cost of wind energy equipmentand all materials used to manufacture, install, or construct wind energysystems. The exemption does not apply to equipment used to construct a plantto manufacture wind energy systems.**Solar**Effective July 1, 2006, solar energy equipment is also exempt from the statesales tax. Solar equipment means any equipment that is used to convertincident solar radiation to energy, or equipment used to transform theconverted energy to storage or to some point of use.**Hydroelectricity**In May 2013 a sales tax exemption was also added for hydroelectricityconversion equipment. This includes, but is not limited to, generators,turbines, powerhouses, intakes, coffer dams, walls, water conduits, tailraces,other concrete components, electric equipment substations, poles, wires,transformers, breakers, and switches used to convert water, water power, orhydroelectricity to a form of usable energy.",Sales Tax Incentive,Financial Incentive,1,https://tax.iowa.gov/iowa-sales-and-use-tax-guide,NA,NA
57,Iowa,IA,Ethanol-Based Fuels Exemption,"This excise tax exemption allows a refund to those who blend conventionalmotor fuel with alcohol to produce ethanol. The refund is equal to the""difference between taxes paid on the motor fuel purchased to produce ethanolblended gasoline and the tax due on the ethanol blended gasoline."" In effect,ethanol-blended gasoline is taxed at $0.19 per gallon, while non-ethanolblended gasoline is taxed at $0.20 per gallon.",Sales Tax Incentive,Financial Incentive,0,http://www.state.ia.us/dnr/energy/programs/renewable/incentives.htm,NA,NA
92,Delaware,DE,DEMEC - Green Power Program,"Under Delaware's RPS, rural electric cooperatives and municipal utilities canopt out of the mandated portfolio requirements if they establish a greenenergy fund and a voluntary green power purchasing program. The DelawareMunicipal Electric Corporation (DEMEC), a joint action agency and wholesaleelectric company representing the state's nine municipal utilities, opted outof the RPS requirements on behalf of the municipal utilities and beganoffering a voluntary green power program to its customers starting on June 1,2006. DEMEC currently offers green power subscriptions in 100 kilowatt-hourblocks at a monthly premium price of $0.21 per block. Customer contracts lastfor one year (June 1 - May 31). The amount of green energy blocks is limitedand subscriptions are awarded on a first-come first-serve basis. The quantitythat can be purchased is limited to a customerâ€™s lowest monthly consumptionin the preceding twelve months To enroll in the program, customers shouldcontact the appropriate DEMEC member utility directly. DEMEC municipal utilitymembers include: Newark, New Castle, Middletown, Dover, Smyrna, Seaford,Lewes, Clayton and Milford. These utilities serve a combined population of100,000 and have a combined peak load of 435 megawatts.",Mandatory Utility Green Power Option,Regulatory Policy,0,http://www.demecinc.net/news.html,NA,NA
