policy_id,state_name,state_code,policy_name,summary,policy_type,program_category,published,websiteurl,start_date_text,start_year,
88,New Mexico,NM,Schools with Sol,"Schools with Sol is a four-year solar demonstration program of the EnergyConservation and Management Division for New Mexicoâ€™s K-12 schools. Theprogram funds the installation of solar equipment that produces electricityand/or hot water for school facilities. The goals are to create opportunitiesfor renewable energy education in New Mexicoâ€™s schools; provide residential-scale demonstrations in the schoolsâ€™ local communities; and displaceconventional electricity, natural gas, and propane consumption in schoolfacilities. Under the Schools with Sol program, solar energy systems are beinginstalled at ten sites in New Mexico schools each year from 2004 through 2007.It is estimated that the installed systems will produce more than 3 millionkilowatt-hours of energy during their 20-year life cycles and save $150,000 inenergy costs. As part of the Schools with Sol educational component, studentswill learn about PV and other types of renewable energy systems, and see real-time energy production through performance monitoring. Schools with Sol isfunded by the Energy, Minerals and Natural Resources Department using StateGeneral Funds, U.S. Department of Energy funding, school district in-kindcontributions, and utility company funding. Funds are used for design,purchase, installation, and maintenance of solar systems. Through acompetitive process EMNRD selects schools each year to receive one of threetypes of systems: \- photovoltaic (PV), grid interconnected with 500-to-1000Watts; \- solar domestic hot water (SDHW), 30-to-120 square feet of liquidglazed collectors; \- solar swimming pool heating (SSPH), 200-to-300 squarefeet of liquid unglazed collectors. The Energy Conservation and ManagementDivision assists New Mexico public schools in reducing operating costs throughprograms for energy-efficient design, energy performance contracting, andclean energy grants. Schools with Sol offers an additional way to reduceoperating costs, while also providing a great educational opportunity forstudents to learn about solar energy and other sustainable technologies.",Grant Program,Financial Incentive,0,http://www.emnrd.state.nm.us/emnrd/ecmd/SolSchools/SolSchools.htm,NA,NA,
222,New Mexico,NM,Fuel Mix and Emissions Disclosure,"The adoption of disclosure rules has been delayed, as the state legislaturevoted in early 2001 (SB 266) to delay restructuring until 2007. As part of NewMexicoâ€™s Electric Utility Industry Restructuring Act of 1999, thelegislature requires the NM Public Regulation Commission (PRC) to ""promulgaterules governing competitive electric suppliers for the protection ofcustomers, including required disclosure to a potential customer of unbundledprices, generation sources and fuel mix, and associated emissions."" In May2000, the PRC issued proposed rules that would require environmentaldisclosure in a standard format at least once a year. The proposed rules wouldrequire information on fuel mix to be compared to the national and regionalaverages, based on data available for the most recent calendar year, except insome circumstances in which forecasted data could be used. Emissions of carbondioxide, sulfur dioxide, nitrogen oxides, and mercury would be compared to theregional and national averages. The amount of spent nuclear fuel generatedwould also be disclosed. In all advertisements, competitive suppliers would berequired to include a toll free number and an Internet address through whichcustomers could obtain the disclosure label. Beginning in May 2003,competitive suppliers would be required to file an annual reconciliationreport verified by affidavit.",Generation Disclosure,Regulatory Policy,0,NA,NA,NA,
247,New Mexico,NM,System Benefits Charge,"**The New Mexico system benefits charge was replaced with the passing oftheEfficient Use of Energy Act. **  As part of New Mexico's Electric Utility Industry Restructuring Act of 1999the legislature created the Electric Industry System Benefits Fund forrenewable energy, customer education, and low-income assistance. The fund iscreated through a charge of 0.03¢/kWh beginning January 1, 2002 and doublingin 2007. The charge is collected from all electric utilities, both private andpublic. The funds will support renewable energy up to $4 million to be used byschool districts, cities, towns, villages, or counties. Renewable technologiesto be supported include solar, wind, geothermal, biomass, landfill gas, andhydropower. Consumer education will be funded at $500,000 and overseen by thePublic Regulation Commission. Low-income energy assistance will be funded at$500,000 and provision of electricity to remote communities not connected tothe grid will be funded at up to $4,000,000. These funds will be used todevelop electric service through the initiation and implementation of newprojects, including those using renewable energy, to provide or extendelectric service in low-income communities.",Public Benefits Fund,Regulatory Policy,1,http://www.nmenv.state.nm.us/,NA,2002,doubled 2007
284,New Mexico,NM,Net Metering,"**Eligibility and Availability**Net metering is available to all ""qualifying facilities"" (QFs), as defined bythe federal _Public Utility Regulatory Policies Act of 1978_ (PURPA), whichpertains to renewable energy systems and combined heat and power systems up to80 megawatts (MW) in capacity. There is no statewide cap on the aggregatecapacity of net-metered systems.All utilities subject to Public Regulation Commission (PRC) jurisdiction mustoffer net metering. (Municipal utilities, which are not regulated by the PRC,are exempt.) Customers are required to be billed for service in accordancewith the rate structure and monthly charges that the customer would beassigned if the customer had not interconnected a QF.**Net Excess Generation**  For net-metered systems 10 kilowatts (kW) or less, the utility has a choice inhow to compensate customers for net excess generation (NEG). The utility maycredit the customer on the next bill for the excess kilowatt-hours (kWh)generated, by either:  * Crediting or paying the customer for the NEG supplied to the utility at the utility's _energy rate_ (i.e., avoided cost rate); or,  * Crediting the customer for the kWh of NEG supplied to the utility. Unused credits are carried forward from month-to-month, provided that if a utility opts to credit customers and the customer leaves the system, the customer's unused credits for excess kWh generated are paid to the customer at the utility's _energy rate_. Utility-specific information on net metering can be found at the followingwebsites:  * PNM Resources (Public Service Company of NM) - Rider No. 24  * Xcel Energy (Southwestern Public Service Company) - Tariff No. 3018.33   * El Paso Electric Company - Rate No. 16For all other net-metered systems up to 80 MW, the NEG delivered from the QFto the utility is purchased by the utility at the utility's applicable time-of-use or single period _energy rate_. If a customer has NEG totaling lessthan $50 during a monthly billing period, the excess is carried over to thecustomer’s next monthly bill. If NEG exceeds $50 during a monthly billingperiod, the utility will pay the customer the following month for the excess.The energy rate to be paid for the energy supplied by the QF in any monthshall be the respective month's rate from the utility's current schedule onfile with the PRC. Each utility shall file with the PRC its schedulecontaining monthly energy rates that will be applicable to the next twelve-month period. Each month's energy rate contained in the schedule is theaverage of the economy energy purchases by the utility for the correspondingmonth of the immediately preceding 12-month period. The energy rate containedin the schedules is required to include the savings attributable to theavoidance of losses due to transmission, distribution, and transformation asapplicable for different voltage levels of interconnection.Utilities with retail time-of-use rates on file with the PRC must fileschedules reflecting monthly energy rates calculated for peak periods only andoff-peak periods only which shall be applied to QFs whose generation islimited to peak periods only or off-peak periods only.**Interconnection**The PRC adopted revised interconnection standards for customer-sitedgenerators in July 2008.If provision of the net metering option requires metering equipment andrelated facilities that are more costly than would otherwise be necessaryabsent the requirement for net metering, the QF must pay all incremental costsassociated with installing the more costly metering equipment and facilities.The QF must give the utility at least 60 days written advance notice tointerconnect, and the utility must specify within 15 days the reason(s) why itcannot interconnect as requested if it is unable to do so. Within 10 days ofreceiving notification of the intent to interconnect from a customer with a QF10 kW or less in size, the utility must notify the customer of any meteringcosts.",Net Metering,Regulatory Policy,1,NA,NA,NA,
290,New Mexico,NM,New Mexico Solar Easements & Rights Laws,"New Mexico's Solar Rights Act (1977) and Solar Recordation Act (1983) allowproperty owners to create solar easements for the purpose of protecting andmaintaining proper access to sunlight. The Solar Rights Act established theright to use solar energy as a property right. The solar right preventsneighboring property owners from constructing new buildings or planting newtrees which would block their access to the sun.The Solar Recordation Act describes the procedures for filing a solar rightthrough the County Clerk's Office. The property owner seeking the solar rightmust give advanced notice to the adjacent property owners, who are entitled tocontest the claim. Once awarded, the solar right is attached to the propertyand will remain in effect even if the property is sold. The solar right,however, can be bought and sold separately from the property. This allows aneighboring property owner to purchase the solar right and then cancel it. TheSolar Rights Act and the Solar Recordation Act also include provisionsallowing local governments to create their own ordinances or zoning rulespertaining to the protection of solar rights.In May 2007, S.B. 1031 strengthened solar access rights in New Mexico bylimiting the ability of a county or municipality to restrict the placement ofsolar collectors unless the location is within a historic district. S.B. 1031also voided all covenants and restrictions (from July 1, 1978 forward) thateffectively prohibit the installation of solar collectors.More information is available in this brochure and at the website listedabove.",Solar/Wind Access Policy,Regulatory Policy,1,http://www.emnrd.state.nm.us/ECMD/RenewableEnergy/solar.html,NA,1983,
323,New Mexico,NM,Mandatory Alternative Energy Cost Estimates,"For applicants for permanent new electric service with a connected load ofless than 25 kilowatts (kW) in capacity, if the estimated construction cost ofa utility line extension is at least 15 times greater than the estimatedannual revenues from the utility line extension, then at the customer'srequest, the utility must contact up to three alternative-energy systemsuppliers chosen by the customer from a list compiled by the New MexicoEnergy, Minerals and Natural Resources Department. The utility must ask thesuppliers to provide cost estimates on alternative-energy systems to thecustomer.",Line Extension Analysis,Regulatory Policy,0,NA,NA,NA,
359,New Mexico,NM,Biomass Equipment & Materials Compensating Tax Deduction,"In 2005, New Mexico adopted a policy to allow businesses to deduct the valueof biomass equipment and biomass materials used for the processing ofbiopower, biofuels, or biobased products in determining the amount ofCompensating Tax due.New Mexico's Compensating Tax is an excise, or ""use"" tax, which is typicallylevied on the purchaser of the product or service for using tangible propertyin the state. The tax applies to imports of factory and office equipment, andother items. The rate is 5.125% on certain property used in New Mexico and 5%on certain services used in New Mexico. Compensating Tax is designed toprotect New Mexico businesses from unfair competition from out-of-statebusiness not subject to a sales or gross receipts tax. This biomassCompensating Tax deduction is analogous to a sales tax exemption for renewableenergy equipment available in some other states.Deductions from compensating tax do not have to be reported to the New MexicoTaxation and Revenue Department but records substantiating the deductionshould be kept in the taxpayer's records.",Sales Tax Incentive,Financial Incentive,1,NA,06/17/2005,2005,
364,New Mexico,NM,Clean Energy Revenue Bond Program,"New Mexico's Energy Efficiency and Renewable Energy Bonding Act, which becamelaw in April 2005, authorizes up to $20,000,000 in bonds to finance energyefficiency and renewable energy improvements in state government and schooldistrict buildings. At the request of a state agency or school district, theNew Mexico Energy, Minerals and Natural Resources Department will conduct anenergy assessment of a building to determine specific efficiency measureswhich will result in energy and cost savings. A state agency or schooldistrict may install or enter into contracts for the installation of energyefficiency measures on the building identified in the assessment. Aninstallation contract may be entered into for a term of up to 10 years.The bonds are exempt from taxation by the state, and any type of renewableenergy system and most energy efficiency measures, including energy recoveryand combined heat and power (CHP) systems, are eligible for funding. Projectsfinanced with the bonds will be paid back to the bonding authority using thesavings on energy bills.",Bond Program,Financial Incentive,1,http://www.emnrd.state.nm.us/ECMD/CleanEnergyTaxIncentives/CREB.html,NA,2005,
593,New Mexico,NM,PV Leasing Program,"In early 1998, Southwestern Public Service Company started a solar leasingprogram. PV systems are leased for an undetermined period to customers for usein livestock water pumping and stand-alone power supplies. All of theutilityâ€™s customers are eligible and there is no requirement for a minimumdistance from the grid. Each project is custom-fitted to the customerâ€™sneeds, with the utility handling all equipment maintenance. The leasingprogram is promoted through word-of-mouth.",Leasing Program,Financial Incentive,0,NA,NA,1998,
720,New Mexico,NM,Renewable Portfolio Standard,"In March 2004, New Mexico’s governor signed into law the _Renewable EnergyAct_ (S.B. 43), creating a state renewable portfolio standard (RPS). By 2020,investor-owned utilities (IOUs) are required to generate 20% of total retailsales from renewable energy resources, and rural electric cooperatives arerequired to generate 10% of total retail sales from renewable energyresources. This requirement was later increased by S.B. 489 of 2019.  **Eligible Technologies**Renewable energy is defined as electric energy generated by low- or zero-emissions generation technology with substantial long-term productionpotential; solar; wind; geothermal; hydropower facilities brought in serviceafter July 1, 2007; fuel cells that are not fossil fueled; and biomassresources, such as agriculture or animal waste, small diameter timber, saltcedar, and other phreatophyte or woody vegetation removed from river basins orwatersheds in New Mexico, landfill gas, and anaerobically digested wastebiomass. Distribution cooperatives may count energy produced by geothermalheat pumps towards their requirements, per H.B. 263 enacted in April 2015.The statute explicitly states that renewable energy does not include electricenergy generated from fossil fuels or nuclear facilities.**Requirements**IOUs and rural distribution cooperatives are required to generate 20% of totalretail sales from renewable energy resources by 2020, increasing to 40% by2025, and 50% by 2030. After 2030, New Mexico utilities must continue totransition to carbon free resources. By 2040 80% of the retail sales ofelectricity by just IOUs must come from renewable energy resources. However,through 2047, utilities are not required to displace any zero carbon resourcesto comply with the standard. By 2045, zero carbon resources must supply 100%of all retail sales from IOUs. Rural distribution cooperatives have a targetof zero-carbon by 2050, composed of at least 80% renewable energy.Rural electric distribution cooperatives are required to have renewable energyaccount for 5% of retail sales in 2015, increasing at a rate of 1% annuallyuntil January 1, 2020, at which time the RPS is 10%. S.B. 489 of 2019 addedadditional requirements for later years of 40% by 2025 and 50% by 2030. By2050, zero-carbon resources must supply 100% of all retail sales; 80% mustcome from renewable energy sources. The 2050 is applicable only if 1) thetarget is technically feasible, 2) the cooperative can still provide reliableelectric service while implementing the target, and 3) implementing the targetwill not cause electric service to become unaffordable.  **Credit Multiplier**Each kWh of renewable energy generation by solar technologies that weredeveloped and operational before January 1, 2012, by a distributioncooperative or through the wholesale contract obligation of the wholesalesupplier counts as 3.0 kWh for RPS compliance purposes.**Compliance**Utilities document compliance with the RPS through the use of renewable energycertificates (RECs). A REC represents all of the environmental attributes from1 kWh of electricity generated from a renewable energy resource. RECs used forRPS compliance on or after January 1, 2008, must be registered with theWestern Renewable Energy Generation Information System (WREGIS). RECs that arenot used for compliance, sold, or otherwise transferred may be carried forwardfor up to 4 years.Each year on May 1, June 1, or July 1 (depending on the IOU), an IOU mustsubmit a procurement plan for the upcoming 2 years to the PRC. Thisprocurement plan report describes the procurement and generation of renewableenergy for the upcoming plan year and a suggested procurement plan for thefollowing year. The PRC order approving the procurement plan only reflects theprocurement for the upcoming plan year, however. At the same time, each IOU isrequired to submit an annual renewable energy portfolio report on the previouscalendar year, describing actual retail sales and subsequent reductions due toRCT, large customers, or exempt customers as well as actual procurement.Electric cooperatives must report to the PRC annually by April 30 on itspurchases and generation of renewable energy during the preceding calendaryear.**Cost Mitigation Measures**_**Investor-Owned Utilities**_This RPS compliance requirement may be adjusted for the following threereasons.First, provisions in current law limit the potential cost of complying withthe RPS. In any given year, if the cost to procure renewable energy is greaterthan the _reasonable cost threshold (RCT)_ , a public utility may reduce itsprocurement down to the RCT percentage level. However, the condition excusingperformance under the RPS in any given year may not serve as an excuse todelay procurement of sufficient resources to meet the increasing RPScompliance requirements in future years. As of 2013, the RCT threshold is 3%of retail sales.Second, the large customer cap also constrains the amount of renewable energythat can be procured. For non-governmental customers who consume more than 10million kilowatt-hours (kWh) per year, renewable energy procurement is limitedso as not to exceed either 2% of the customer’s annual electric charges or$99,000, whichever is less. After January 1, 2012, the $99,000 limit isinflation-adjusted by the amount of the cumulative change in the ConsumerPrice Index, Urban (CPI-U) between January 1, 2011, and January 1 of theprocurement plan year.Third, the Renewable Energy Act (Chapter 62, Article 16 NMSA 1978) was amendedin 2014 (effective May 15, 2014) to exempt any political subdivision of NM orany educational institution with a fall semester enrollment of at leasttwenty-four thousand students provided they met the following criteria: (i)has an excess of 20,000,000 kWh of electricity consumption at a singlelocation or facility, regardless of how many meters it has; (ii) has its owncapacity to generate renewable energy; and (iii) certifies that it will spend2.5% of the annual electricity charges to further develop customer-ownedrenewable energy generation._**Electric Cooperatives**_The RCT for cooperatives is 1% of its gross receipts from business transactedin New Mexico for the preceding calendar year. Cooperatives are not requiredto incur RPS compliance costs above this level. These levels were establishedin S.B. 418 (March 2007).In addition, S.B. 418 established a “renewable energy and conservation fee” tosupport programs or projects to promote the use of renewable energy, loadmanagement, or energy efficiency. Distribution cooperatives may collect fromits customers a fee of no more than one percent of the customer’s bill, not toexceed $75,000 annually from any single customer.",Renewables Portfolio Standard,Regulatory Policy,1,http://www.nmprc.state.nm.us/utilities/renewable-energy.html,NA,2004,
